mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__criterion,param_clf__max_depth,param_clf__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.0446327209472654,0.11265371756100799,0.24858412742614747,0.013522957655611855,gini,6,1,"{'clf__criterion': 'gini', 'clf__max_depth': 6, 'clf__min_samples_leaf': 1}",0.37383117179576786,0.38408185042251936,0.37827302876290175,0.38126210929014376,0.3880128494286688,0.3810922019400003,0.004848350737663256,12,0.38227150610412547,0.3835042571301446,0.38633518899592584,0.3856149394441121,0.39019196007236884,0.38558357034933544,0.002723838595705314
3.065076780319214,0.07904240150866461,0.25833659172058104,0.022514629011460008,gini,6,10,"{'clf__criterion': 'gini', 'clf__max_depth': 6, 'clf__min_samples_leaf': 10}",0.37361526256653455,0.38408185042251936,0.37830723620674567,0.3816357104220928,0.3946016978446245,0.3824483514925034,0.007017190714271728,11,0.38192491440250126,0.3835042571301446,0.3861203520750182,0.38557584815632673,0.39916529172184023,0.3872581326971662,0.006139053041155288
3.863856840133667,0.21878945132182734,0.26076951026916506,0.010477262838339359,gini,12,1,"{'clf__criterion': 'gini', 'clf__max_depth': 12, 'clf__min_samples_leaf': 1}",0.3887124266509306,0.40260514615804893,0.3947198471277269,0.3974650904965456,0.3933320797519316,0.3953669180370367,0.004596428988195488,5,0.451354032209119,0.4622359646730301,0.46326645485104373,0.46319022318553954,0.453262143151348,0.45866176361401606,0.005235339150743171
3.8202866077423097,0.183811613407129,0.27745471000671384,0.012585596458090787,gini,12,10,"{'clf__criterion': 'gini', 'clf__max_depth': 12, 'clf__min_samples_leaf': 10}",0.3867729749993099,0.39936594341176407,0.39364430805012446,0.39985444124195696,0.3943790998947949,0.39480335351959006,0.004740064776363959,6,0.4314647375670466,0.4478942103631498,0.4431815054311626,0.4435530173554871,0.43469576940948396,0.440157848025266,0.006097957909922316
4.574782180786133,0.25457957111301854,0.3460864543914795,0.02170399550251369,gini,20,1,"{'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1}",0.40245082627598466,0.4026162811873976,0.40018150777287914,0.4014869819347342,0.39924911412301833,0.40119694225880276,0.0013035346392129238,1,0.6789716174869979,0.6804488803206894,0.6945798366634586,0.6938227435714698,0.6555283495961951,0.6806702855277621,0.014152838592688734
4.267275476455689,0.34923969394101256,0.31438579559326174,0.024562881115870502,gini,20,10,"{'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__min_samples_leaf': 10}",0.4022840103690495,0.3994439177694558,0.39388325716952716,0.40503633458891103,0.39889300648917786,0.39990810527722426,0.0037279579179837125,3,0.5341364246898173,0.5419033911664549,0.5442739647610036,0.5442074775450157,0.5227574959059655,0.5374557508136514,0.008233006537619826
3.014305591583252,0.14012293905556733,0.2569749355316162,0.007658994141356387,entropy,6,1,"{'clf__criterion': 'entropy', 'clf__max_depth': 6, 'clf__min_samples_leaf': 1}",0.37684051882274155,0.39242298519497615,0.3790901628819591,0.3841472672139601,0.39181554852998635,0.38486329652872464,0.006382623799384332,9,0.38294287994544457,0.3883307190944576,0.38559925840762616,0.3878156439167583,0.3916727468326385,0.38727224963938506,0.002909376293441166
3.113671350479126,0.10014599472809867,0.27663002014160154,0.02083019140730313,entropy,6,10,"{'clf__criterion': 'entropy', 'clf__max_depth': 6, 'clf__min_samples_leaf': 10}",0.3769460050216004,0.3897474907251999,0.3791242343892946,0.3842034313651413,0.39148689713334717,0.3843016117269167,0.005695713298940872,10,0.38272548424221203,0.38630380117401647,0.38538988870697205,0.3876446128063927,0.39100636346214296,0.38661403007834727,0.0027228751753861566
3.787004566192627,0.022373580625300267,0.27709245681762695,0.017988341520388886,entropy,12,1,"{'clf__criterion': 'entropy', 'clf__max_depth': 12, 'clf__min_samples_leaf': 1}",0.3938740644342343,0.3850036261019952,0.39375897078756533,0.39490860737149464,0.38973584214024065,0.391456222167106,0.0036786758338712543,8,0.4495640448296209,0.44528451243349526,0.44858758998102405,0.45093999473931606,0.4520420947078341,0.4492836473382581,0.0023198584951641676
3.854976940155029,0.29072375293687924,0.29645071029663084,0.03513484415090338,entropy,12,10,"{'clf__criterion': 'entropy', 'clf__max_depth': 12, 'clf__min_samples_leaf': 10}",0.39550099274697614,0.39431889600774667,0.3959009099837904,0.39241432266421766,0.39104967918131556,0.3938369601168093,0.0018468344909887402,7,0.43146262938435537,0.4331585755963568,0.43155031217197,0.43080622005568264,0.43463724064011927,0.43232299556969683,0.0013922501063273328
3.9726269245147705,0.25754988339132595,0.27125844955444334,0.02926313935146408,entropy,20,1,"{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__min_samples_leaf': 1}",0.3947459837839961,0.3961423973103248,0.39559973069034116,0.39521574175051627,0.3963140779265523,0.39560358629234615,0.000579833767901538,4,0.6859614904742212,0.6771055302717081,0.689572998071169,0.6746928894693841,0.6551533822202312,0.6764972581013428,0.011997778535944754
4.094173240661621,0.07104369896614901,0.29065775871276855,0.03760631656613401,entropy,20,10,"{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__min_samples_leaf': 10}",0.4029675071193388,0.40010573629323637,0.39379800099483203,0.40124762780947604,0.40632206378165514,0.4008881871997077,0.004119775562547291,2,0.5338920360677485,0.532368849273306,0.5372537928696284,0.5325606487725,0.5274929996797173,0.53271366533258,0.003143214204712711
